,case_study,model,dropout_rate,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_miss_ghost_mean,[match] iou_mean,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff,[obj_level] kill_rate_miss_mean_CI95,[obj_level] kill_rate_ghost_mean_CI95,[obj_level] kill_rate_miss_ghost_mean_CI95,[match] iou_mean_CI95,[match] vr_diff_CI95,[match] ie_diff_CI95,[match] mi_diff_CI95,[match] var_diff_CI95,[match] ps_diff_CI95,[miss] vr_diff_CI95,[miss] ie_diff_CI95,[miss] mi_diff_CI95,[miss] var_diff_CI95,[miss] ps_diff_CI95,[ghost] vr_diff_CI95,[ghost] ie_diff_CI95,[ghost] mi_diff_CI95,[ghost] var_diff_CI95,[ghost] ps_diff_CI95
0,social_perception,yunet_s,0.1,0.22790123053206704,0.17847199462272262,0.35717255619967797,0.33332220191130646,0.23253513944460077,0.1891781466064528,0.2324390758333869,0.9242903105896568,0.9767487673723355,0.44846525090025063,0.3596101303308902,0.4484647221566238,0.44846525090025063,0.44846525090025063,0.16482496103443278,0.10979591166161454,0.16405725366575302,0.0740389284795003,0.10305867015772097,0.27228812798949126,0.17392634014092834,0.3540947928160871,0.2915372550892683,0.26492616992173984,0.21316184559036158,0.2740373516597543,0.13294953468007623,0.008903748067893461,0.05330255639683692,0.04166752769156326,0.053302438192859035,0.05330255639683692,0.05330255639683692,0.01370035663904982,0.0029157002746238404,0.013231765316363381,0.00944614818783838,0.0066009623677004805
1,social_perception,yunet_s,0.15,0.2718254418723647,0.21034863446265223,0.4145727260824845,0.37820335736181304,0.27284800004340093,0.2174028709192224,0.2717322993692915,0.9431267305114023,0.9734436377940984,0.5053018649898868,0.40085288024732596,0.5053012701460984,0.5053018649898868,0.5053018649898868,0.15821081181751329,0.10522533035675927,0.1573797352586905,0.07533982613432386,0.10302825123686947,0.3198101866877706,0.19550272975580807,0.3912669190167222,0.321917340385001,0.3037730203361436,0.23832936208949018,0.3138885248120066,0.09464379558412765,0.012687589170661562,0.06155015412283412,0.04598976234151344,0.0615500116220965,0.06155015412283412,0.06155015412283412,0.0103881249146125,0.00249113190602106,0.00988272574531026,0.006843061655470201,0.00315272593790828
2,social_perception,yunet_s,0.2,0.3065932203615094,0.23617784491119426,0.45866452822904574,0.41168369868896076,0.30591379367891947,0.23868910699746984,0.3028181539728037,0.9528566210919294,0.9699135988323535,0.5477905799628464,0.4307443660749407,0.54778992649194,0.5477905799628464,0.5477905799628464,0.15241995942410377,0.1017736812484648,0.15152373948694192,0.07662774003012887,0.10365748686023131,0.36027556054328336,0.2110215089176905,0.4193098914872004,0.3460764806420969,0.3353194768215114,0.2596560978465206,0.346636417117779,0.07108487744175997,0.01880552178382128,0.0697713797832954,0.05063630287258101,0.06977121717020306,0.0697713797832954,0.0697713797832954,0.01029450631398504,0.00135764318420892,0.00982618311325964,0.0058604916570761,0.0026578888214944998
3,social_perception,yunet_s,0.25,0.3351279307374687,0.2602800517982943,0.4956127394701454,0.4357316992942497,0.3313668299297188,0.25336196161520325,0.3256859520948123,0.9589949908105483,0.9676518140377242,0.5758310492625495,0.44927635356130047,0.5758303636458064,0.5758310492625495,0.5758310492625495,0.1479666370101976,0.09905114091736096,0.1470340651834548,0.0780771299960501,0.10373272922100511,0.39256553522522236,0.22437046852126738,0.4393071851584792,0.3626655925890656,0.35735359108797743,0.2739116069199035,0.3704495638265403,0.053729624596751326,0.024405321317034923,0.08746282390366253,0.06185933401535319,0.08746261456028193,0.08746282390366253,0.08746282390366253,0.011308894557655061,0.00212456611872512,0.01082108206960574,0.00507716259393586,0.0024843688319836
4,social_perception,yunet_s,0.3,0.3618101740250988,0.2819465258440396,0.5287402247818536,0.4585402197771787,0.3585999496282872,0.26816979020648,0.3494450658686787,0.9628330987428436,0.9649091971980349,0.5983705410122697,0.46337950273251627,0.5983698247475061,0.5983705410122697,0.5983705410122697,0.14451089172719805,0.09691711503698189,0.1435418430263919,0.07920736569466333,0.10395199109962153,0.41608753340779936,0.23735818064832465,0.4524069462910911,0.3714058859443482,0.3673378234779684,0.28179708762007494,0.38304695961686547,0.04119823510139976,0.02930082319974906,0.10240622005906834,0.07294942438636323,0.10240599853407113,0.10240622005906834,0.10240622005906834,0.01192672068562288,0.0026852177341465,0.01145219988941076,0.00492239605031016,0.0025845949810888802
5,social_perception,yunet_s,0.35,0.3866602365122012,0.3020656382947039,0.5582101161530671,0.4778937610442039,0.3816194690957742,0.2795915500418058,0.36982655383260576,0.9653704271717352,0.9629771116657977,0.6082938461549132,0.4676727435413473,0.608293121438577,0.6082938461549132,0.6082938461549132,0.14202969223194906,0.0954128170496748,0.14103697754881475,0.08020475379653862,0.10375361563156618,0.4387961596078889,0.24804045110507963,0.46203573518412744,0.37666202281537553,0.3741086561409849,0.287176413096161,0.3925465075172948,0.03183149272297732,0.0335162582431717,0.1372822369972842,0.09853795708126449,0.1372819427495123,0.1372822369972842,0.1372822369972842,0.012368722021759801,0.00286985970380068,0.011873797392220279,0.00497057011517422,0.0016047391417889003
6,social_perception,yunet_s,0.4,0.41108222244843173,0.3210284452090407,0.5859879595467941,0.4951138410922969,0.4041121348456115,0.28969780990997035,0.38931404553157606,0.9670085116983632,0.9614171171075491,0.6183877884196678,0.47198508605140266,0.6183870484531041,0.6183877884196678,0.6183877884196678,0.14020661768390832,0.09413023709741034,0.13917672360769684,0.08103968307179278,0.10373573340085511,0.4561822520337608,0.2610958138946045,0.4688982235338952,0.38257101432389484,0.3758812711610346,0.29316104401114834,0.3992541008821767,0.02451948378239938,0.0371847231768613,0.16743041765630412,0.1220094318468766,0.1674300956332991,0.16743041765630412,0.16743041765630412,0.01245771803084386,0.00330008116427382,0.01201485878325158,0.004649082720713781,0.0017430843225691
7,social_perception,yunet_s,0.45,0.43383340424633393,0.34021098948522377,0.611690414156976,0.5120972157083952,0.4251999138569749,0.2991596434747533,0.40802881622568615,0.9686738113359847,0.9597059433422446,0.626227924259069,0.47484403149543003,0.6262271700570523,0.626227924259069,0.626227924259069,0.13888106276854373,0.09317667994244869,0.13782170836348934,0.08155853621808255,0.1035535235337941,0.4711283213875511,0.2716962535528123,0.47138735540916327,0.38939911549608797,0.3801979450734579,0.3008203627377636,0.4087757653383705,0.01818225064108992,0.04135422804595308,0.19768492926308998,0.1459715799792493,0.19768457794254252,0.19768492926308998,0.19768492926308998,0.01388284485589876,0.00347470848174462,0.013371060114962141,0.00422975475086788,0.0017702208617386798
8,social_perception,yunet_s,0.5,0.45627793871954747,0.3585590297562861,0.6360983784408653,0.5287913425988621,0.44607151112608945,0.3086864712447727,0.42646480702937445,0.9690297331008388,0.9588077114230344,0.6345088636049369,0.4783570321356536,0.6345081012915118,0.6345088636049369,0.6345088636049369,0.1378317739144505,0.09235664528350321,0.13677241350590705,0.08198504069888021,0.10369190046330265,0.4870635326822047,0.2812201216602375,0.4743467574669764,0.38946692982529957,0.37597189288748945,0.3012675599072644,0.4091313738775207,0.015545342390306,0.04463520084564716,0.22705984804836032,0.16770874390470636,0.22705945624277532,0.22705984804836032,0.22705984804836032,0.01224938962790058,0.0031840663810998398,0.01179181187618218,0.00390656549081522,0.00204655368421162
9,social_perception,yunet_n,0.1,0.21268729867048428,0.2039097469288277,0.36208538831417303,0.3117648427069909,0.21776935017303947,0.17771831448643732,0.2173947943313908,0.893854746091527,0.9738898871908577,0.4354095881905313,0.34893725085188815,0.43540902571770806,0.4354095881905313,0.4354095881905313,0.16396676868730808,0.10842522086569228,0.1631954826171051,0.07918448768431494,0.10165175109594296,0.30165132830711167,0.22343025586444315,0.40916982064744023,0.32124693341682475,0.2909385458824022,0.23750014112198495,0.30067859195263225,0.18489535821812136,0.01100662017542504,0.08462942059369402,0.06272202939884072,0.084629338903767,0.08462942059369402,0.08462942059369402,0.0040973216795209,0.00206042154361362,0.00393705949702544,0.00610055940011006,0.0015291528405399
