mutant_id,equivalent_mutant,iskill_miss,iskill_ghost,iskill_miss_ghost,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
mutant_mc_dropout_0.1,False,True,True,True,0.06518018018018018,0.09441839891311372,0.5225150637650638,0.13470940645767543,0.5526328926328926,0.15059483654389644,0.1912474073286982,0.93481981981982,0.06518018018018015,0.08195487709373786,0.07817908113203569,0.9384393473954628,0.8738631125425546,0.10202702702702703,0.10202702702702701,0.08653125509047753,0.10202689733333703,0.10202702702702701,0.10202702702702701,0.1749405830120765,0.17494058301207646,0.12113191070503686,0.16989808683946853,0.0824540503013291,0.12715565451901156
mutant_mc_dropout_0.15,False,True,True,True,0.11022522522522522,0.11823969682238068,0.6128902291402292,0.10912851881826126,0.6524069961569962,0.12328753227657965,0.27963470382676425,0.889774774774775,0.1102252252252252,0.13301414776297704,0.12760539543411314,0.9671655581518352,0.9244707550023626,0.16373873873873873,0.16373873873873873,0.13975194363504082,0.163738527285101,0.16373873873873873,0.16373873873873873,0.20820051570303955,0.20820051570303955,0.13646169264979963,0.20070878546100213,0.07246070470828267,0.11774130750430928
mutant_mc_dropout_0.2,False,True,True,True,0.1512162162162162,0.13571932438928389,0.67250585000585,0.08275794555546283,0.7200588938088938,0.09479126440404767,0.34299937696650623,0.8582432432432432,0.14175675675675672,0.16359217462598669,0.16144674221994537,0.9590650500313364,0.941051259294714,0.21335585585585584,0.21335585585585579,0.18469538460468815,0.21335562087311125,0.21335585585585579,0.21335585585585579,0.2298261235482129,0.2298261235482129,0.14601601067732672,0.2205057145901015,0.06711194280284564,0.11484130720341329
mutant_mc_dropout_0.25,False,True,True,True,0.23583333333333334,0.13165670540147506,0.7135878104628105,0.06417159316533867,0.7812295043545043,0.07270542399014786,0.4106592107156284,0.8032882882882884,0.1967117117117117,0.21306748332364683,0.2142940723242892,0.9686608347617128,0.9629873153539205,0.3281531531531532,0.3281531531531532,0.28983778888701583,0.328152757716462,0.3281531531531532,0.3281531531531532,0.25038308084773836,0.2503830808477383,0.15679067803184865,0.2390896747747818,0.058926097367685816,0.11276231086524442
mutant_mc_dropout_0.3,False,True,True,True,0.28337837837837837,0.12339998175211328,0.7413032400164753,0.05572833022688114,0.8133483220983221,0.061760059075193434,0.4077824536564464,0.7740315315315316,0.18542792792792792,0.21008516848706146,0.20490615551272198,0.9470748648153677,0.9328586222872867,0.36768018018018017,0.36768018018018017,0.3237947020110175,0.3676797679687881,0.36768018018018017,0.36768018018018017,0.24568449148932775,0.24568449148932775,0.15736635220005962,0.23526439676605312,0.05808112306714696,0.11313302605522833
mutant_mc_dropout_0.35,False,True,True,True,0.3376801801801802,0.10749148681863425,0.7580815836814289,0.05348514153227615,0.8395186515387754,0.05076291626684492,0.3818643896277022,0.7894594594594594,0.12945945945945941,0.16788602928785204,0.1530148021371657,0.9143497384609737,0.9084955197667921,0.429481981981982,0.42948198198198195,0.3757583600729474,0.4294815176442986,0.42948198198198195,0.42948198198198195,0.2321022217905996,0.2321022217905996,0.15238763593755306,0.2232084559385308,0.061765405450101986,0.11436090278881869
mutant_mc_dropout_0.4,False,True,True,True,0.3780855855855856,0.11299466585482425,0.7738995572838452,0.050705210056695496,0.8611781956305951,0.0480349478023242,0.41531802241328564,0.7642117117117116,0.15470720720720718,0.18718744679734192,0.17529247392130817,0.9120596167330175,0.9061313224152333,0.4779054054054053,0.4779054054054053,0.41947649372883256,0.47790488729225195,0.4779054054054053,0.4779054054054053,0.22446125636076075,0.22446125636076075,0.14967149319192044,0.21626095116796148,0.06287342321779019,0.11084462570070952
mutant_mc_dropout_0.45,False,True,True,True,0.4302702702702702,0.12243207331551212,0.7828090502490657,0.046343655494580464,0.8790605278608375,0.04060624969577154,0.4523189512422848,0.7157207207207207,0.18968468468468463,0.21448422911702344,0.21048298666379733,0.899409156242556,0.8897412608932416,0.5222972972972972,0.5222972972972972,0.46302597621385166,0.5222967249966171,0.5222972972972972,0.5222972972972972,0.20207604326921733,0.2020760432692173,0.1427197729254675,0.1960699858107252,0.06975181733304216,0.11328013863200118
mutant_mc_dropout_0.5,False,True,True,True,0.4662387387387387,0.12667699838865074,0.7883139518859333,0.04642745112707598,0.8911296030471728,0.04017881207371679,0.44295400601823187,0.6873423423423424,0.17752252252252249,0.20943828193297745,0.19697588304696137,0.861114245520312,0.8520160374504407,0.5570945945945945,0.5570945945945945,0.49823821671206386,0.5570939577030738,0.5570945945945945,0.5570945945945945,0.19042599602291876,0.19042599602291874,0.13941787333683076,0.18514927900661018,0.0725392825641377,0.11325400510521519
mutant_mc_dropblock_0.1_1,False,True,True,True,0.07159909909909909,0.10022047430806182,0.528075933075933,0.13530926059594978,0.5603234565734566,0.1496294896273757,0.19569270940889522,0.9284009009009009,0.07159909909909908,0.09098990008224042,0.08778545106374668,0.933126750308164,0.9817010590751993,0.12364864864864868,0.12364864864864863,0.10188299965522575,0.12364851738511319,0.12364864864864863,0.12364864864864863,0.17822340110614102,0.178223401106141,0.12149929299461361,0.17281362538505426,0.05889741655622931,0.11194371063575628
