mutant_id,equivalent_mutant,iskill_miss,iskill_ghost,iskill_miss_ghost,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
mutant_mc_dropout_0.1,False,True,True,True,0.011162962962962958,0.011559455967743094,0.015088888888888883,0.023909029631783367,0.025874074074074063,0.0325322598924884,0.03395845616148834,0.9888370370370371,0.011162962962962956,0.012103854404045633,0.013443289789857319,0.9185705877632906,0.985060053748647,0.03666666666666667,0.03666666666666667,0.021134256184047465,0.036666661168372236,0.03666666666666667,0.03666666666666667,0.05333333333333334,0.05333333333333331,0.014971195252038843,0.05245487043766512,0.01594841738203531,0.023552412121788883
mutant_mc_dropout_0.15,False,True,True,True,0.013355555555555553,0.013363315321714732,0.01337777777777777,0.023107509293842806,0.025999999999999992,0.03260900265190295,0.03949637178557378,0.9866444444444444,0.013355555555555548,0.015476206122555694,0.01638593209072501,0.9355452301377343,0.9873546301654166,0.04066666666666667,0.04066666666666666,0.023816915112955955,0.040666646920790375,0.04066666666666666,0.04066666666666666,0.051333333333333335,0.051333333333333314,0.015829119946216014,0.05021524083188248,0.015294150264394348,0.015735999521445426
mutant_mc_dropout_0.2,False,True,True,True,0.014711111111111107,0.01723769328718607,0.014828571428571422,0.022446252154561516,0.02905079365079364,0.03433162853530646,0.04284326657703399,0.9852888888888888,0.014711111111111102,0.01731013882309739,0.018758769861989225,0.9459204282435102,0.9885136591794198,0.04533333333333334,0.04533333333333333,0.026993858264512494,0.04533330931048606,0.04533333333333333,0.04533333333333333,0.056,0.05599999999999998,0.01641215794483846,0.05423663730783499,0.010689383792443448,0.019573443723717613
mutant_mc_dropout_0.25,False,True,True,True,0.01825925925925926,0.016206133029815533,0.021282539682539674,0.034113748905174546,0.0384116402116402,0.045114008480559346,0.04907354191126558,0.9817407407407406,0.018259259259259253,0.022507088261189533,0.02314372611419938,0.9562795949631383,0.9886034980854826,0.052,0.05199999999999999,0.03235183723509433,0.05199997828178948,0.05199999999999999,0.05199999999999999,0.07066666666666666,0.07066666666666664,0.022557100284836932,0.0688918623627143,0.015867837594040857,0.027822885183435547
mutant_mc_dropout_0.3,False,True,True,True,0.021822222222222222,0.0197490542149055,0.020892063492063486,0.03119069888997252,0.0423174603174603,0.04374322521819347,0.05377453577553786,0.9781777777777777,0.02182222222222222,0.027377596863222855,0.02692705730487724,0.9614514788640552,0.9897943806616676,0.06822222222222221,0.0682222222222222,0.043003262208883924,0.06822218325741901,0.0682222222222222,0.0682222222222222,0.074,0.07399999999999998,0.022009724572493113,0.07194888565303584,0.014286301151480663,0.027346910459648696
mutant_mc_dropout_0.35,False,True,True,True,0.027177777777777776,0.0216306455719998,0.020384126984126973,0.03491565278095441,0.046574603174603164,0.048434989140344636,0.05767346601885234,0.9761555555555557,0.023844444444444435,0.02871094458523181,0.02828128057238156,0.9660319737669446,0.9906697754735774,0.0881111111111111,0.0881111111111111,0.0565081791126137,0.0881110492201035,0.0881111111111111,0.0881111111111111,0.07733333333333334,0.07733333333333331,0.023257981715977236,0.07463643097147314,0.020193873879052075,0.03555367254978684
mutant_mc_dropout_0.4,False,True,True,True,0.03094074074074074,0.025676273268447004,0.02531428571428571,0.03489608744074169,0.05451216931216931,0.0540456323197962,0.06318073283259804,0.9723925925925926,0.0276074074074074,0.0318335944801931,0.03236470094543111,0.9713130402743959,0.9899336266079429,0.09644444444444446,0.09644444444444443,0.06304181146087863,0.09644436592838167,0.09644444444444443,0.09644444444444443,0.07866666666666666,0.07866666666666666,0.023145442635261856,0.07553698275628055,0.01649379266917459,0.01923360742405624
mutant_mc_dropout_0.45,False,True,True,True,0.027755555555555554,0.027495971281726626,0.023339682539682532,0.03971932753410624,0.0499206349206349,0.06047596679744838,0.06244872971968852,0.9762444444444442,0.023755555555555544,0.03362821733260879,0.030102429957534316,0.9763466678628312,0.991199059185173,0.07777777777777778,0.07777777777777778,0.05189558407756995,0.07777772497221988,0.07777777777777778,0.07777777777777778,0.08,0.07999999999999997,0.026067314763406468,0.07762994673096943,0.024201525019728286,0.03295707065312112
mutant_mc_dropout_0.5,False,True,True,True,0.03071851851851852,0.03060872220279631,0.029495238095238088,0.042196192493161026,0.05906455026455026,0.06487635518622357,0.06744616212082737,0.9726148148148148,0.02738518518518518,0.040948379424009654,0.03425247220902607,0.9784477253081078,0.9914990464326502,0.08826666666666667,0.08826666666666665,0.059406523294007,0.08826662135400634,0.08826666666666665,0.08826666666666665,0.08355555555555555,0.08355555555555554,0.02855151363966692,0.07998839850034445,0.018752957299854645,0.03554857345779804
mutant_mc_dropblock_0.1_1,False,True,True,True,0.011570370370370368,0.009912365272617109,0.011479365079365075,0.018623862657882902,0.022471957671957664,0.025935268237485206,0.03424168311194629,0.9884296296296294,0.011570370370370368,0.012860566186570752,0.013900044944339494,0.9203189052600735,0.9856588576867765,0.037333333333333336,0.03733333333333332,0.021094316505345136,0.03733332213762489,0.03733333333333332,0.03733333333333332,0.04066666666666666,0.04066666666666665,0.01250349854352231,0.03989930901320164,0.010232534754488492,0.01973830816207752
mutant_mc_dropblock_0.1_3,False,True,True,True,0.01607407407407407,0.014760663340413958,0.018663492063492056,0.030470144354640228,0.03403915343915343,0.040941153858397875,0.04462179927690674,0.9839259259259259,0.016074074074074067,0.017618302961636755,0.019835046766068117,0.9474656839400146,0.9885931359549653,0.050222222222222224,0.05022222222222221,0.029528574694365043,0.05022219502073479,0.05022222222222221,0.05022222222222221,0.064,0.06399999999999997,0.02014018354960132,0.0627707817143447,0.016974775152606383,0.025825893874331485
mutant_mc_dropblock_0.1_5,False,True,True,True,0.019370370370370368,0.0176530979333537,0.021873015873015867,0.03254126123943096,0.03979576719576718,0.04335198042381399,0.046033694939835015,0.9858296296296297,0.014170370370370364,0.020338802173879598,0.019372191926044183,0.9563320244889458,0.98982322756651,0.05133333333333333,0.05133333333333332,0.031188853461440125,0.0513333051708073,0.05133333333333332,0.05133333333333332,0.07933333333333334,0.07933333333333333,0.024650549907252486,0.077279593565454,0.01731708388985125,0.027841453069733936
mutant_mc_dropblock_0.1_7,False,True,True,True,0.024244444444444443,0.02529381267980987,0.030698412698412697,0.04169655703088144,0.05312380952380952,0.05759116664619556,0.053496475386983516,0.9786444444444443,0.021355555555555544,0.02382480052503308,0.026227845894897774,0.9626318475849428,0.9904381920589804,0.07266666666666668,0.07266666666666666,0.04496468818980781,0.07266662258728286,0.07266666666666666,0.07266666666666666,0.09511111111111113,0.0951111111111111,0.02990123458955307,0.09089970593172256,0.01257387493309786,0.02742059425892173
mutant_mc_dropblock_0.1_9,False,True,True,True,0.026933333333333326,0.023246122032457142,0.030349206349206338,0.03743061691433392,0.054815873015873005,0.05068994861796261,0.05627406923558773,0.9764,0.023599999999999996,0.025541342522414974,0.028825193358576317,0.9631889670553316,0.9890181124265263,0.076,0.076,0.047997472474664564,0.07599995122612171,0.076,0.076,0.10111111111111111,0.1011111111111111,0.027897767250721243,0.09669306932116911,0.01384078855168751,0.02143685448594541
mutant_mc_dropblock_0.15_1,False,True,True,True,0.012266666666666664,0.013756716824613529,0.01661587301587301,0.023927837420360122,0.028482539682539675,0.03372527800366791,0.03820410349182858,0.9877333333333331,0.012266666666666662,0.014772725870528292,0.015469606969119122,0.937458580972306,0.9870856254711556,0.04266666666666667,0.042666666666666665,0.025069435656201285,0.042666657156557576,0.042666666666666665,0.042666666666666665,0.06133333333333333,0.06133333333333333,0.01660141802694698,0.05990037489676342,0.010550450493204189,0.026306038692954285
mutant_mc_dropblock_0.15_3,False,True,True,True,0.021585185185185183,0.021431927249531336,0.023050793650793645,0.03306348147606947,0.04340211640211639,0.04562216698888758,0.04961860559322198,0.9819703703703702,0.01802962962962962,0.02063041360184013,0.022669920259131972,0.9585302461961256,0.989702155126966,0.06377777777777778,0.06377777777777777,0.039340783041211295,0.06377773756912095,0.06377777777777777,0.06377777777777777,0.074,0.07399999999999997,0.022906805718414514,0.07199253975849483,0.017735124660962852,0.025353925665066505
mutant_mc_dropblock_0.15_5,False,True,True,True,0.022074074074074072,0.02294568518801515,0.023841269841269833,0.03486382043545621,0.04469629629629628,0.04855029797971393,0.05642094862757802,0.9779259259259262,0.022074074074074065,0.025677093227190674,0.027954092983862963,0.9672421477310132,0.9904297350694071,0.06266666666666666,0.06266666666666666,0.03937390273596306,0.06266662534162577,0.06266666666666666,0.06266666666666666,0.07733333333333332,0.07733333333333332,0.02562766554656962,0.07402489875935746,0.021506133715216855,0.02855491647822126
mutant_mc_dropblock_0.15_7,False,True,True,True,0.029207407407407408,0.017771169246391074,0.03318095238095237,0.047680426449017335,0.060296296296296285,0.06193091371841884,0.060416137072324884,0.9765703703703703,0.02342962962962962,0.028491823448279618,0.029511137261813102,0.9705921857305579,0.9912069305240749,0.08166666666666667,0.08166666666666665,0.0509341477096318,0.08166663184068106,0.08166666666666665,0.08166666666666665,0.10066666666666667,0.10066666666666664,0.032951247003042694,0.09617805074447236,0.0232671314084523,0.04064270512640133
mutant_mc_dropblock_0.15_9,False,True,True,True,0.028977777777777772,0.025145896230187082,0.03957142857142856,0.04309489415019223,0.06659999999999998,0.06441850311195776,0.06476655102030109,0.9741333333333334,0.025866666666666652,0.030112259513797847,0.03162947817996668,0.9751061483339972,0.9924953011120691,0.07900000000000001,0.07899999999999999,0.05095222012722779,0.07899994839780933,0.07899999999999999,0.07899999999999999,0.1131111111111111,0.1131111111111111,0.034033203100063275,0.10784780684487186,0.015006823215741774,0.028903073704221047
mutant_mc_dropblock_0.2_1,False,True,True,True,0.01676296296296296,0.015252258450666177,0.01296190476190476,0.02228858708350977,0.029026455026455025,0.03316421082759984,0.04508443907927856,0.983237037037037,0.016762962962962955,0.01874521424204681,0.020441719306445758,0.9489492181805921,0.9885841395240489,0.05266666666666667,0.05266666666666666,0.03121205598827178,0.05266664663995732,0.05266666666666666,0.05266666666666666,0.04800000000000001,0.04799999999999999,0.01589188589923493,0.04694588925539407,0.012813633560348394,0.01967868511732267
mutant_mc_dropblock_0.2_3,False,True,True,True,0.024518518518518512,0.021919830046693747,0.021584126984126973,0.03207621556097342,0.04384867724867724,0.04534496095739875,0.05597769408710082,0.9785925925925926,0.021407407407407396,0.02611512888724798,0.02642983149686677,0.9683005019747142,0.9908643222634382,0.07555555555555554,0.07555555555555554,0.04708081669687487,0.07555549480399854,0.07555555555555554,0.07555555555555554,0.076,0.07599999999999998,0.02258294623791016,0.0741496029803734,0.01659261264479785,0.02926766514692377
mutant_mc_dropblock_0.2_5,False,True,True,True,0.02706666666666666,0.02695986361291822,0.02929206349206348,0.038367091235331136,0.05479682539682539,0.057713879010414665,0.06130464432305648,0.9760444444444445,0.023955555555555546,0.03182209831615949,0.02992937592139094,0.9731717600923137,0.9915135556061107,0.07546666666666667,0.07546666666666664,0.0491276906343531,0.07546661862152769,0.07546666666666664,0.07546666666666664,0.09400000000000001,0.09399999999999997,0.02777720284276902,0.08924588277154467,0.017206123417621552,0.024794964191969308
mutant_mc_dropblock_0.2_7,False,True,True,True,0.0334,0.02864263103356236,0.04068571428571427,0.052082911962164205,0.07123968253968252,0.07090025278281464,0.0703072418149534,0.969711111111111,0.03028888888888888,0.03450652004872837,0.03574460539185409,0.9778067790783278,0.9908480400767259,0.09293333333333331,0.09293333333333331,0.05967321539825998,0.09293327055773881,0.09293333333333331,0.09293333333333331,0.11488888888888887,0.11488888888888885,0.03681529824599214,0.10918400896107665,0.024140010155690853,0.04096518618909616
mutant_mc_dropblock_0.2_9,False,True,True,True,0.03605185185185185,0.023427678960074826,0.04646031746031745,0.052449519637607384,0.07983968253968253,0.06805433122016281,0.07213924407445285,0.9697259259259261,0.030274074074074068,0.03704500070752962,0.036587806731528144,0.9786467577152371,0.990569099210668,0.098,0.09799999999999999,0.06137696469323248,0.09799995536846544,0.09799999999999999,0.09799999999999999,0.13066666666666668,0.13066666666666665,0.03977441289181567,0.12390543070594139,0.02395291759953312,0.0363221055855743
mutant_mc_dropblock_0.25_1,False,True,True,True,0.02007407407407407,0.01881511554254289,0.01717460317460317,0.0264652540846013,0.03641058201058201,0.03957169524749079,0.05016012703201221,0.9799259259259261,0.020074074074074064,0.024010758851411768,0.024699032746855892,0.9563168496081745,0.989005094034406,0.0657777777777778,0.06577777777777777,0.04022786915845901,0.06577774468745769,0.06577777777777777,0.06577777777777777,0.05733333333333334,0.05733333333333332,0.016756331361069295,0.05539549066819429,0.011024835970880964,0.01839459031142647
mutant_mc_dropblock_0.25_3,False,True,True,True,0.027688888888888884,0.02441504242376839,0.029409523809523802,0.04269086372664785,0.055057142857142846,0.05850397635276052,0.05742218789330045,0.9787555555555556,0.021244444444444434,0.028691331469471292,0.027075274455175838,0.9723088531613883,0.9914582007810558,0.07777777777777778,0.07777777777777777,0.048920611752874085,0.07777773734366634,0.07777777777777777,0.07777777777777777,0.09266666666666666,0.09266666666666663,0.02952263364148923,0.09040898464263553,0.01986688585854318,0.038579400297855726
mutant_mc_dropblock_0.25_5,False,True,True,True,0.034637037037037036,0.027319652273372057,0.03376507936507936,0.045973660140401496,0.06631957671957672,0.0638264178942668,0.07098351808248031,0.968474074074074,0.031525925925925916,0.039299343929612006,0.03837751527653749,0.9779975690134556,0.9908875091445312,0.10011111111111112,0.10011111111111111,0.0649442363352036,0.10011106750273287,0.10011111111111111,0.10011111111111111,0.11666666666666667,0.11666666666666664,0.03329365579474018,0.11021369436631791,0.01579098970171699,0.03935063075832602
mutant_mc_dropblock_0.25_7,False,True,True,True,0.03737037037037037,0.023760263927966443,0.04484444444444442,0.05103718946612389,0.07917354497354497,0.06938059099368968,0.07545796763940321,0.9672962962962964,0.0327037037037037,0.042778646206791573,0.03989422032100041,0.9804949542198707,0.9915289915085638,0.10719999999999999,0.10719999999999996,0.06916436001972978,0.10719993448289529,0.10719999999999996,0.10719999999999996,0.11222222222222224,0.1122222222222222,0.03410187112668846,0.10675125208073527,0.02356463962834425,0.034059538622387316
mutant_mc_dropblock_0.25_9,False,True,True,True,0.04186666666666666,0.025154609556805776,0.052428571428571415,0.054339725764582764,0.09163015873015873,0.07312966834917188,0.07167827843657239,0.9736888888888889,0.026311111111111098,0.04531935165480929,0.03438741133045304,0.9831294607698017,0.9936638745291756,0.11022222222222221,0.11022222222222221,0.0732360361217156,0.11022215860368736,0.11022222222222221,0.11022222222222221,0.13333333333333333,0.1333333333333333,0.039431125539223594,0.125693433192388,0.02393770035058551,0.03385128626754805
mutant_mc_dropblock_0.3_1,False,True,True,True,0.01861481481481481,0.01788684054236453,0.021336507936507935,0.03133376533684177,0.0386084656084656,0.04509226598832907,0.05028918212016096,0.9813851851851851,0.01861481481481481,0.022502592696031942,0.022550786564222873,0.9591535347071063,0.9897307986400853,0.05533333333333334,0.055333333333333325,0.0340772884265223,0.05533328974214071,0.055333333333333325,0.055333333333333325,0.07466666666666666,0.07466666666666666,0.020637824436920534,0.07203943020041935,0.009779907247056557,0.025714776344978887
mutant_mc_dropblock_0.3_3,False,True,True,True,0.026711111111111106,0.025009997804785786,0.031238095238095228,0.04417260796895254,0.05649523809523808,0.06048010477462199,0.06218590791772661,0.9764,0.023599999999999996,0.03214108057460932,0.030292645670239295,0.973744742697062,0.9916142146573139,0.08077777777777778,0.08077777777777778,0.05164531426001491,0.0807777095602017,0.08077777777777778,0.08077777777777778,0.09266666666666667,0.09266666666666663,0.029637331527906704,0.08917743485081023,0.021593560128410023,0.031989266418057556
mutant_mc_dropblock_0.3_5,False,True,True,True,0.03649629629629629,0.02775837786460833,0.034749206349206335,0.04256378489606065,0.06863915343915342,0.06367436733306095,0.07471770893685942,0.9682148148148148,0.03178518518518517,0.042996743982087325,0.039216133367396044,0.9812522263018895,0.9932079243120192,0.09777777777777777,0.09777777777777776,0.0636895242456245,0.09777771351356125,0.09777777777777776,0.09777777777777776,0.10133333333333333,0.1013333333333333,0.029504953820438592,0.0954824370590988,0.020119208998724998,0.0260023907049
mutant_mc_dropblock_0.3_7,False,True,True,True,0.0440962962962963,0.03170882386589094,0.05538095238095237,0.05562967880676267,0.09642275132275133,0.07562241536770758,0.08038198236724761,0.9650148148148149,0.03498518518518517,0.052030912464850525,0.04416567549234454,0.9836726885302209,0.9919871141212624,0.11986666666666666,0.11986666666666665,0.08087145441009773,0.11986657987017223,0.11986666666666665,0.11986666666666665,0.13777777777777778,0.13777777777777775,0.042682265176689944,0.12989873577895641,0.027802805378118592,0.04515008470248575
mutant_mc_dropblock_0.3_9,False,True,True,True,0.05397037037037036,0.034310706829974766,0.05089999999999999,0.048093635073571915,0.10155185185185184,0.07600892793716248,0.08038155127695375,0.9671407407407409,0.03285925925925925,0.06365286406485002,0.04376420873042729,0.9859976412173891,0.9925325268257452,0.14884444444444442,0.14884444444444442,0.10487265831938834,0.14884433046656365,0.14884444444444442,0.14884444444444442,0.1311111111111111,0.1311111111111111,0.03653106870626224,0.12298797064791091,0.022951554749282933,0.03249220438160311
mutant_mc_dropblock_0.35_1,False,True,True,True,0.02413333333333333,0.017833191646437985,0.02362857142857142,0.030863630032759794,0.04648571428571427,0.04205028922535141,0.05120230935652685,0.9825333333333333,0.017466666666666658,0.02654186462833787,0.023220466197315152,0.9664471726625279,0.9900722729747466,0.07466666666666666,0.07466666666666666,0.046161324794330966,0.07466661523360787,0.07466666666666666,0.07466666666666666,0.07066666666666667,0.07066666666666666,0.01970467035783409,0.06848025806746925,0.0140062028513832,0.022309295658086117
mutant_mc_dropblock_0.35_3,False,True,True,True,0.032081481481481475,0.029092179195683715,0.027612698412698405,0.034444952448704935,0.058002116402116395,0.05456489744908949,0.0724476565753054,0.9679185185185184,0.032081481481481475,0.040802315577195374,0.03935536632067016,0.97875906491219,0.9911303854565112,0.09577777777777777,0.09577777777777777,0.06189821696244316,0.09577771787961974,0.09577777777777777,0.09577777777777777,0.082,0.08199999999999999,0.025764830955728714,0.07779248684196792,0.012187834732454978,0.036989144029522456
mutant_mc_dropblock_0.35_5,False,True,True,True,0.04694814814814814,0.03540626590798382,0.037351322751322746,0.04696484327942794,0.08107724867724866,0.071988910911873,0.07896035754631175,0.965274074074074,0.03472592592592591,0.04938069944844696,0.041836303702508716,0.9830376117441805,0.9925681943733855,0.1280888888888889,0.12808888888888886,0.0870865267874279,0.1280887999864155,0.12808888888888886,0.12808888888888886,0.0928888888888889,0.09288888888888887,0.03072502370748288,0.0879499598927902,0.023455840436811672,0.03092725070497744
mutant_mc_dropblock_0.35_7,False,True,True,True,0.048081481481481475,0.035691487091592894,0.04703174603174602,0.04880138960076775,0.09272275132275132,0.07388598069361427,0.08690071354367578,0.9612518518518518,0.03874814814814813,0.06643733032950361,0.04977703291180082,0.985977817164039,0.9925801186345474,0.13324444444444444,0.13324444444444444,0.09295046513612296,0.13324438222145732,0.13324444444444444,0.13324444444444444,0.12977777777777777,0.12977777777777777,0.03814412183493065,0.12270937320612241,0.027222567869724587,0.033867909787588205
mutant_mc_dropblock_0.35_9,False,True,True,True,0.061829629629629616,0.05500771676901653,0.05182857142857141,0.05227941885829125,0.10991640211640209,0.09666913302015959,0.0936958308435405,0.9570592592592592,0.04294074074074072,0.09610985315930683,0.06057678219684182,0.9877553386623084,0.9927971612677681,0.14646666666666666,0.1464666666666666,0.11132390390325066,0.14646657757841178,0.1464666666666666,0.1464666666666666,0.12533333333333335,0.12533333333333332,0.042131090889992,0.11715563768048771,0.023267491272059626,0.04363516011348659
mutant_mc_dropblock_0.4_1,False,True,True,True,0.02607407407407407,0.023503363557258298,0.027117460317460308,0.039206658758924665,0.05188359788359788,0.0555104023468623,0.059623807319706505,0.9772592592592594,0.02274074074074073,0.031814474156880816,0.02922109634301134,0.9718053684463456,0.9911678879721916,0.08166666666666667,0.08166666666666664,0.05328390648821614,0.081666636629023,0.08166666666666664,0.08166666666666664,0.08111111111111112,0.0811111111111111,0.025292224883232014,0.07853697926699246,0.014550175635714273,0.0348116977047542
mutant_mc_dropblock_0.4_3,False,True,True,True,0.03827407407407407,0.03662497875548914,0.03898571428571427,0.05378609380335554,0.07518201058201057,0.07661395146051868,0.07764023052989455,0.9646148148148148,0.035385185185185165,0.04564521552786853,0.04277690326800444,0.9817412078729982,0.992415388381079,0.107,0.10699999999999996,0.07276940388111917,0.1069999166282318,0.10699999999999996,0.10699999999999996,0.1068888888888889,0.10688888888888888,0.03570880613348846,0.10225005924649491,0.023784344048055017,0.043521386566566886
mutant_mc_dropblock_0.4_5,False,True,True,True,0.05034814814814815,0.034369190318070904,0.04121904761904761,0.05008736007756677,0.0888153439153439,0.07375851780924608,0.07791296705854855,0.9699185185185187,0.03008148148148147,0.05838409164821942,0.04067859489634935,0.9870685138440863,0.9935274929772533,0.13217777777777778,0.13217777777777773,0.09141481166174363,0.13217766998169536,0.13217777777777773,0.13217777777777773,0.11399999999999999,0.11399999999999996,0.03597717601364199,0.10810626587581441,0.01768061943508252,0.03795623507613807
mutant_mc_dropblock_0.4_7,False,True,True,True,0.060074074074074064,0.050081231742282545,0.048082539682539664,0.04819717215051907,0.10419523809523806,0.08812378205207436,0.09835588968898405,0.953237037037037,0.04676296296296295,0.0784460861652721,0.05690326866616625,0.9877916480743312,0.9930235846290228,0.1531111111111111,0.1531111111111111,0.11291718233375993,0.1531109888534712,0.1531111111111111,0.1531111111111111,0.12,0.11999999999999998,0.0362087793351896,0.11330583558372954,0.024563469730197067,0.02999564784747659
mutant_mc_dropblock_0.4_9,False,True,True,True,0.07655555555555554,0.06956777359953431,0.04768888888888888,0.05275813938375568,0.1206269841269841,0.11072244982562866,0.11243570091313693,0.9421111111111112,0.057888888888888865,0.12226580301993759,0.07803482292459153,0.9895932606748882,0.9932300725347045,0.16846666666666668,0.16846666666666665,0.1304993975402062,0.16846652088431818,0.16846666666666665,0.16846666666666665,0.12311111111111113,0.12311111111111113,0.03666391154142809,0.11525220902512155,0.022039831303981555,0.027728185435257173
