test_suite,[img_level] ms_miss,[img_level] ms_ghost,[img_level] ms_miss_ghost,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_miss_std,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_ghost_std,[obj_level] kill_rate_miss_ghost_mean,[obj_level] kill_rate_miss_ghost_std,[match] iou_mean,[match] match_rate,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] miss_rate,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] ghost_rate,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff
low,1.0,1.0,1.0,0.3721896739468642,0.11951297193210474,0.3334507734415966,0.10402136884393136,0.5738409766393615,0.10802359030163355,0.47708789434535653,0.6502514098297504,0.3618489685418676,0.2925409816914654,0.3650775672931076,0.9670982009407886,0.9710006978763488,0.5060391135887123,0.5060391135887123,0.4023948751549176,0.5060384709173018,0.5060391135887123,0.5060391135887123,0.16223962251240753,0.1620635553432934,0.10661466170079778,0.16114092312679493,0.07546891366237123,0.10138416085567363
meduim,1.0,1.0,1.0,0.20582705673220625,0.07293889516950361,0.2272705014185147,0.08792615975587265,0.379078522548571,0.09232923735660387,0.31994808718366713,0.807795026053828,0.20561442367581234,0.16811131248081954,0.20430033645675294,0.9420811798275527,0.9778291281448145,0.44782534555133563,0.44782534555133563,0.3583296927418937,0.44782472814501756,0.44782534555133563,0.44782534555133563,0.1632584095399451,0.16298647131910915,0.10672494309718984,0.16208754057380748,0.07607560391966765,0.1008395179507984
high,1.0,1.0,1.0,0.11963799726400264,0.03707867589682606,0.16340857640245077,0.05539419653100265,0.2565935828211864,0.05809187058594259,0.2320921399330025,0.8897147886712146,0.1258973976865508,0.10087006595991563,0.12130444967536924,0.8772292064907911,0.9760993997051658,0.4443867157569838,0.4443867157569838,0.3559897995034714,0.44438616777415174,0.4443867157569838,0.4443867157569838,0.1674736161011952,0.16709882044318006,0.1082351834221529,0.1661828704644617,0.07661409781384604,0.10178800513028363
