,case_study,model,block_size,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_miss_ghost_mean,[match] iou_mean,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff,[obj_level] kill_rate_miss_mean_CI95,[obj_level] kill_rate_ghost_mean_CI95,[obj_level] kill_rate_miss_ghost_mean_CI95,[match] iou_mean_CI95,[match] vr_diff_CI95,[match] ie_diff_CI95,[match] mi_diff_CI95,[match] var_diff_CI95,[match] ps_diff_CI95,[miss] vr_diff_CI95,[miss] ie_diff_CI95,[miss] mi_diff_CI95,[miss] var_diff_CI95,[miss] ps_diff_CI95,[ghost] vr_diff_CI95,[ghost] ie_diff_CI95,[ghost] mi_diff_CI95,[ghost] var_diff_CI95,[ghost] ps_diff_CI95
0,social_perception,yunet_s,1,0.24768016218888367,0.19721913194766916,0.3870330721604654,0.3624030677378953,0.24640270548491028,0.19929473146256213,0.24565168504966797,0.9464990539858178,0.976105147947365,0.4781198720777001,0.38291699234369153,0.4781193059169312,0.4781198720777001,0.4781198720777001,0.16608786933382125,0.10946338443971021,0.16525422005669296,0.07232127844900543,0.10214905748906061,0.2945162798349806,0.11493987110593314,0.3201137897327946,0.281846169613017,0.2740068051478798,0.2154882009888207,0.2822688115646621,0.08961606975992317,0.014336910173940422,0.06878463779927328,0.05213680980168214,0.06878448218679489,0.06878463779927328,0.06878463779927328,0.009064519734452822,0.0030017871213721663,0.008923327857502278,0.007295209154922055,0.005056229065228956
1,social_perception,yunet_s,3,0.3312008216330856,0.2580976488946165,0.49109177969551937,0.4362828840226428,0.3304001445022982,0.2531202603765245,0.32467447000932737,0.9581679473701042,0.9679117398114931,0.5705159645623109,0.44605876222299745,0.5705152837839722,0.5705159645623109,0.5705159645623109,0.14674012062335065,0.09915720646511937,0.145840846387713,0.07786737820530859,0.10406656819629168,0.3812929387026034,0.21540657250270032,0.42760877010615794,0.3513351593736918,0.3446104219877171,0.2657527311232207,0.3586353351178435,0.05912317304103509,0.022402258918543666,0.0806891221751916,0.05865417562217534,0.08068893420631462,0.0806891221751916,0.0806891221751916,0.009661760583398989,0.0016071524100099777,0.00924906662368321,0.004527789707794978,0.0022781010375857776
2,social_perception,yunet_s,5,0.37596395338733085,0.29439813600489145,0.5447749425453761,0.4675515546626355,0.3732986667076,0.2749542107392354,0.36258233267070844,0.959528925358012,0.9637568172249187,0.6024399365378695,0.46441742003655606,0.602439216988321,0.6024399365378695,0.6024399365378695,0.14132708475585495,0.09555658588027705,0.14037132757607892,0.08037913298746671,0.1043599688818529,0.42852308805558637,0.2610335828891406,0.46935796498402155,0.3794025413233454,0.3724334810084581,0.28681021121920725,0.3900515596003291,0.04614574163790694,0.0308892935171331,0.12252400043822531,0.08834137275118578,0.12252374894666859,0.12252400043822531,0.12252400043822531,0.013195752452358288,0.0026513694316145334,0.012662621417099543,0.005322836386677144,0.0026758744235901
3,social_perception,yunet_s,7,0.40102100582453315,0.31096013203587847,0.5710672686443224,0.48252516740466,0.3957518224568528,0.28469123026810667,0.38223863535184566,0.9601582318594095,0.9618151427892924,0.6084485071661988,0.4648712367485245,0.608447778381906,0.6084485071661988,0.6084485071661988,0.14071029290643466,0.0945483097066266,0.13971327537605674,0.08128709039361388,0.10401703137225671,0.4473289355828895,0.2826276188404266,0.4820899767359135,0.3907128861031047,0.37704995246032413,0.29549634526765667,0.4003717825146383,0.0388657439834826,0.035106134494046454,0.15674422882148797,0.11420876178034677,0.1567439322776631,0.15674422882148797,0.15674422882148797,0.014090275220512434,0.0031151302726263,0.0134408338726397,0.005263694994815311,0.002149147759637
4,social_perception,yunet_s,9,0.41697394555229067,0.3221522591081431,0.5875605164326,0.4908914025484256,0.40873929509799267,0.29012698438475476,0.39360552678412586,0.9601926386784909,0.9612860959898042,0.6089077799705814,0.46213676985423446,0.6089070529445474,0.6089077799705814,0.6089077799705814,0.14229152549848134,0.09451871272727703,0.14123391929631401,0.08152234447569459,0.10327620828551946,0.45622609647114726,0.29501005921555096,0.4858593908654137,0.3920930419815289,0.37349369878912514,0.29716438907814363,0.4007650471182539,0.034962958767034154,0.03659507725788831,0.18456388089400846,0.13517558233320492,0.1845635427423593,0.18456388089400846,0.18456388089400846,0.014308401813348744,0.003181769069179467,0.013649419284945244,0.0053155993236804,0.0015323915753381887
5,social_perception,yunet_n,1,0.23263161422894005,0.24097187481725285,0.4030140626821713,0.34257694651706905,0.23093487666498225,0.18700300858257138,0.2299118180222838,0.9284619010399029,0.9750505700971416,0.4668428888861874,0.3729171083706324,0.4668422864761419,0.4668428888861874,0.4668428888861874,0.16391381982415285,0.1071943205789941,0.16300774469487922,0.07639383560828568,0.10127186887785887,0.3182122426496126,0.21469550819275826,0.39836832045289655,0.308002641267598,0.2976039223833759,0.2410642844649909,0.30738973512291534,0.11463683003387122,0.014664225938214667,0.08485749455214059,0.0640536341166385,0.08485740473000426,0.08485749455214059,0.08485749455214059,0.005037693201852689,0.0021969092172266,0.005156304262659877,0.004095950521707633,0.002545446837556911
6,social_perception,yunet_n,3,0.30086425669721156,0.31966023787797476,0.5051363548989426,0.4026915311356952,0.30072773338269243,0.23235973656054,0.2957052953314086,0.9411310854504537,0.9688601028724886,0.5428918204372584,0.4234659765915321,0.5428911211162586,0.5428918204372584,0.5428918204372584,0.14724040500285637,0.09868148260534135,0.14632169736340467,0.08157290419079256,0.10362761241269586,0.40690142525042283,0.30880853933129804,0.48761753087817894,0.3766856938631879,0.36741974742837535,0.2917656770470171,0.3799905778167352,0.08972936529376241,0.023577152439072133,0.11889043302355971,0.08871501878489411,0.11889030372686335,0.11889043302355971,0.11889043302355971,0.004008426797972011,0.0012202329847311334,0.0037738013454567338,0.002437296473151889,0.001877352970663711
7,social_perception,yunet_n,5,0.3386795473128953,0.37831169346016663,0.5668310766295203,0.4308991560803854,0.33954554903414574,0.2527166562017981,0.3302759652305555,0.9444569223184922,0.9655222254003901,0.5683893453498643,0.4370812512689239,0.5683886133607773,0.5683893453498643,0.5683893453498643,0.14229424188476292,0.09547212328575592,0.14136305539735777,0.08447195955577791,0.10368925998071302,0.4436663340311185,0.3482863087360725,0.5036136583936137,0.40014415120897684,0.3891322480546128,0.3080740234340169,0.4034039680786661,0.07586441355568362,0.030922207134907446,0.15040497382444232,0.11329452667428483,0.15040480317330124,0.15040497382444232,0.15040497382444232,0.010351461481937144,0.0027504836578007112,0.009934533796829266,0.0030466414877689998,0.002018118626011733
8,social_perception,yunet_n,7,0.3603069773935145,0.4133088505992473,0.6017301825741241,0.4453093893845903,0.36079876114664705,0.2627598344674269,0.34923846800599156,0.9454625824530637,0.9642638139542326,0.5740321998084557,0.4375673001694496,0.5740314587022568,0.5740321998084557,0.5740321998084557,0.14173274893588797,0.09443346503826265,0.1407761566362902,0.08590716648305335,0.10333370578702764,0.4564209524942846,0.36561892359916404,0.5006220370689008,0.40805092759765343,0.39221224196609783,0.31274420931682023,0.4075455530932995,0.06907163673033193,0.03394320165937845,0.1719664749650071,0.13067116147495417,0.17196629198655786,0.1719664749650071,0.1719664749650071,0.014677956064308566,0.004031818719964911,0.014169559354207578,0.0030415273323916112,0.0022236074396831443
9,social_perception,yunet_n,9,0.3741867556083454,0.435319888648303,0.6225112082643546,0.45497434329557396,0.375263766265271,0.2697749069065724,0.3621631472024327,0.9458037612261838,0.9634106110545838,0.574511708348374,0.43521573860711915,0.5745109727290257,0.574511708348374,0.574511708348374,0.1427488784100171,0.09424478296002274,0.14176998206107128,0.086849122682018,0.1029675412701452,0.4635249939624524,0.3787925587444663,0.4978173240751586,0.4084747723629981,0.3876831118126244,0.3122726944576837,0.4052721443376452,0.06239123521641085,0.03555001305877206,0.19092971662946082,0.14540549086724608,0.19092950047420135,0.19092971662946082,0.19092971662946082,0.0186633565986325,0.004641703897750456,0.01804148912117461,0.0032059282115819336,0.0021537433426729
