case_study,model,dropout_rate,[obj_level] kill_rate_miss_mean,[obj_level] kill_rate_ghost_mean,[obj_level] kill_rate_miss_ghost_mean,[match] iou_mean,[match] vr_diff,[match] ie_diff,[match] mi_diff,[match] var_diff,[match] ps_diff,[miss] vr_diff,[miss] ie_diff,[miss] mi_diff,[miss] var_diff,[miss] ps_diff,[ghost] vr_diff,[ghost] ie_diff,[ghost] mi_diff,[ghost] var_diff,[ghost] ps_diff,[obj_level] kill_rate_miss_mean_CI95,[obj_level] kill_rate_ghost_mean_CI95,[obj_level] kill_rate_miss_ghost_mean_CI95,[match] iou_mean_CI95,[match] vr_diff_CI95,[match] ie_diff_CI95,[match] mi_diff_CI95,[match] var_diff_CI95,[match] ps_diff_CI95,[miss] vr_diff_CI95,[miss] ie_diff_CI95,[miss] mi_diff_CI95,[miss] var_diff_CI95,[miss] ps_diff_CI95,[ghost] vr_diff_CI95,[ghost] ie_diff_CI95,[ghost] mi_diff_CI95,[ghost] var_diff_CI95,[ghost] ps_diff_CI95
social_perception,yunet_s,0.1,0.13779216432076885,0.11441032706828567,0.23381202774506474,0.23573033725271395,0.14204050395713014,0.12281722321183712,0.14247938526707957,0.8901306788089197,0.9802488690157792,0.3417539362494444,0.2829025535624563,0.34175353328340385,0.3417539362494444,0.3417539362494444,0.19201087585897958,0.12470762536697598,0.19151360293731712,0.0682293714372182,0.09461862141693296,0.15575575864454588,0.09106908910048235,0.21617872368773425,0.18589230775136423,0.1555513950912857,0.13444024017470363,0.16022440689457304,0.19379952146481785,0.013868431094565481,0.03558337955467873,0.02981926432685966,0.03558326465204036,0.03558337955467873,0.03558337955467873,0.013067964189522661,0.006982198485277589,0.013013991867053766,0.014004455735852976,0.004109638451100552
social_perception,yunet_s,0.15,0.1696922441783746,0.13772766216423396,0.28050461119616127,0.27907828943530455,0.17395976082013076,0.14811791437340932,0.17474747109851838,0.920457187831076,0.9811784444951019,0.3845459901532087,0.3154028559580748,0.3845455328626742,0.3845459901532087,0.3845459901532087,0.1884257686513585,0.12253848344690206,0.1878297730653402,0.06626822175430643,0.09859862880374314,0.19450096976319953,0.10024639387209447,0.250921287822572,0.21706167972433224,0.1911096392631836,0.16151107670282797,0.19782367113921034,0.14376707635623642,0.008869024456337837,0.054228510350862076,0.04409470858599941,0.054228411028677426,0.054228510350862076,0.054228510350862076,0.007407424886124967,0.0028120678917216667,0.007582771833119908,0.009237337675465225,0.0010508534287192246
social_perception,yunet_s,0.2,0.19973719148424626,0.15804597104819415,0.32181406139442437,0.3151078120550037,0.2028310323925319,0.17001923293664523,0.20375291132959691,0.9384442601211961,0.980413851205311,0.41476514954785176,0.33778795014144697,0.41476466296273995,0.41476514954785176,0.41476514954785176,0.17768915464654259,0.1161129313501957,0.17693748304820886,0.068823294869804,0.09949370474348511,0.231937790250481,0.10842698456377141,0.28312436587529716,0.2459450411888317,0.22515330615542695,0.18445489117983457,0.23187316689850737,0.10960976808959592,0.004344108893017307,0.052234603315369006,0.04046058097038112,0.0522344730524804,0.052234603315369006,0.052234603315369006,0.012749788725050185,0.005175144247094528,0.012649797136358141,0.011846208329737234,0.0016031876530441622
social_perception,yunet_s,0.25,0.22742846828696353,0.17743918656811272,0.359247735205751,0.3465211536383029,0.22942715362745436,0.1894017908698137,0.23011299860743425,0.9498647263763038,0.9791693032443437,0.45094043095827524,0.36405928250541203,0.45093989248629024,0.45094043095827524,0.45094043095827524,0.17356665782213443,0.11283986967383274,0.1727788290385901,0.0693240378418594,0.1000392562955497,0.26158349928711366,0.10667297120422368,0.29982055070912106,0.2648704577865898,0.24879019782919187,0.19998218077835794,0.25663058033044656,0.08768585808972248,0.004331908733613298,0.05734818283362895,0.04504069373028631,0.05734806712168522,0.05734818283362895,0.05734818283362895,0.0048485891169089065,0.002916309100597632,0.0047810454406067866,0.007558866797684229,0.0020476087524156656
social_perception,yunet_s,0.3,0.25249284126671373,0.19733383130567184,0.39426182019262307,0.373812792775776,0.25288401863195414,0.20632565966722125,0.253378562702827,0.9577787141072264,0.9772768096235226,0.4835271655679705,0.3876951456253377,0.48352659034744755,0.4835271655679705,0.4835271655679705,0.1660382745449295,0.10859590594090017,0.1651094988743018,0.07090116185352446,0.10067084028121,0.29711793272785286,0.1108551657833792,0.3225171734852869,0.28745250315634907,0.27935916186565524,0.2200932453457956,0.28704960508657335,0.0696064954265846,0.00883156497625178,0.059610950837279464,0.04513821241808392,0.05961080514842996,0.059610950837279464,0.059610950837279464,0.010724916156633074,0.0038369650136791337,0.010766961836389428,0.004789141798383949,0.0026439006176548936
social_perception,yunet_s,0.35,0.2781251333031214,0.21676485419375477,0.4284100326723052,0.39996852605028455,0.2762724681743919,0.22221157013375872,0.2762186440135155,0.963540412379906,0.9749523047344755,0.5132808155303527,0.4091673692929503,0.5132802041684026,0.5132808155303527,0.5132808155303527,0.16030309911766813,0.10535701431488666,0.15937364141736585,0.07305653421452174,0.10281926684572607,0.3264675279770572,0.11510353506370574,0.3414003201997881,0.3020256952545804,0.30005675350874667,0.23154978817887942,0.30841619997592856,0.05600918408202102,0.012173174233728712,0.07015461479216836,0.05220110318397467,0.07015446397873135,0.07015461479216836,0.07015461479216836,0.004356699406151815,0.0026338050904780117,0.004627770736225884,0.00537799329006001,0.0015476826664835477
social_perception,yunet_s,0.4,0.3027490354510439,0.23833509236399628,0.4622913249358796,0.42352458052027697,0.2985898892888819,0.23710568586215797,0.29753325909056755,0.9674817356394002,0.9729562599116376,0.5423304759792805,0.4292630748853634,0.5423298228337635,0.5423304759792805,0.5423304759792805,0.15485883534041842,0.10196696183005237,0.15381621385075375,0.07470942898490433,0.1025901444119439,0.3515430310024403,0.11665394245635254,0.35312653948459066,0.31378919084093004,0.3178713645868798,0.24325562842496734,0.3278576108959086,0.04593721220926958,0.01572323647597202,0.07530934960727877,0.056651182726519304,0.07530918801557664,0.07530934960727877,0.07530934960727877,0.0008600973979744692,0.0011452213852784306,0.0008410965307864872,0.0016367325344141877,0.0015063710448093785
social_perception,yunet_s,0.45,0.3268722560778771,0.2599416353169694,0.4949986619319058,0.44582278060553393,0.32135581771967586,0.25076670291564296,0.3179415032605226,0.9708293434157715,0.9693967931141625,0.5719274911810849,0.4500316204708759,0.5719268106389263,0.5719274911810849,0.5719274911810849,0.14868050441316186,0.09910041280997427,0.14766260012402924,0.07656723712249114,0.10364098274815048,0.38825577348522916,0.1329215416760044,0.38154226774610245,0.33411327484421405,0.3479983181552746,0.26445158604810015,0.35910148297146743,0.03421660823380921,0.02361749788561085,0.09968355496281303,0.07218882247998465,0.09968334466607387,0.09968355496281303,0.09968355496281303,0.006365482704616006,0.002091354620517197,0.006490615291180891,0.0036752459651731542,0.0009473287147195963
social_perception,yunet_s,0.5,0.351751917163271,0.28823761958382577,0.5327736288765418,0.4676076256201953,0.3444484897886532,0.264741031155815,0.338881510947975,0.972680816069944,0.9671156291838163,0.6052263677415954,0.47285606197894275,0.6052256376359434,0.6052263677415954,0.6052263677415954,0.14456880475372477,0.0966265738813075,0.1434664267570518,0.07797543992425947,0.10419140317589974,0.41851279386990503,0.13157575850954284,0.3912693322729152,0.34242146524117617,0.36426664013275717,0.27203433184006004,0.37521903377957394,0.02406073666118999,0.02739979989248283,0.09743142527020836,0.06982753032532411,0.09743121750927819,0.09743142527020836,0.09743142527020836,0.006100615234482892,0.0021449458381601837,0.005896618625592129,0.0018211083813568691,0.0009950634292698521
social_perception,yunet_n,0.1,0.1351775073286286,0.12427977646256716,0.23879427238140374,0.2287867488253228,0.14003472918889848,0.12009371540163477,0.14007049084437817,0.8544306869560984,0.9771179890214398,0.3326075191758671,0.2748935823162095,0.33260709071132716,0.3326075191758671,0.3326075191758671,0.18644454094981078,0.12108225674311711,0.18593218506298656,0.07403502385506545,0.09647560410829059,0.18901570626535205,0.12732751921058638,0.2757233864698993,0.22174812929083124,0.186625116655681,0.16043817923974035,0.19269437830084576,0.24463865352764924,0.01735878075489711,0.07311628132420796,0.05833056974761166,0.07311620135461154,0.07311628132420796,0.07311628132420796,0.011263827685022735,0.0061873256194355545,0.011284743431795462,0.012435780627939642,0.005069368754739249
